ファイル名,説明
Retail.TransactionalInvoicing.pdf,このファイルには、可能な場合は請求書のPDFコピーが含まれています。
Sustainability.Value.Metrics.csv,このファイルには、荷物のサイズ、Climate Pledge Friendly、配達経験値など、アカウントに関連するサステナビリティ関連の指標が含まれています。
Cart History.csv,このファイルには、お客様が商品をカートに追加した日時、商品の ASIN、数量、ギフト包装の有無、商品がプライム特典の対象かどうか、そして 1-Click 購入機能が使用されたかどうかなど、カートに関する情報が含まれています。
Delivery Photos.csv,このファイルには、注文の配達時に撮影された配達証明写真（JPEG 画像ファイル）と、配達場所やタイムスタンプを示す関連メタデータが含まれています。
Digital Borrowed Items.csv,このファイルには、借りたデジタルコンテンツに関する情報が含まれています。内容には、ASIN、タイトル、著者、コンテンツタイプ（電子書籍・電子雑誌）、貸出作成日、貸出ステータス（借用・返却・期限切れ）、貸出プログラム（Comixology、Kindle、Public Library）、返却日、提供されている場合のメールアドレス、そして再貸出の有無を示す指標などが含まれます。
Digital Content Orders.csv,このファイルには、デジタル注文に関する詳細情報が含まれています。内容には、注文日、ASIN、タイトル、注文 ID、注文数量、注文処理日、価格、出品者名（Amazon や Audible など）、ギフト商品かどうか、ギフトメッセージ、請求先および配送先住所、支払金額や税金などの取引情報、プロモーション割引、為替レートやギフトカードの使用状況などの支払い情報が含まれます。
Digital Returns.csv,このファイルには、配送パケット識別子、注文ID、ASIN、タイトル、返品ステータス、返品日、返金額、状態 (未使用または未ダウンロードなど)、数量、デジタル商品識別子、価格、税金、返品がAmazonまたは出品者によって開始されたかどうか、Eメールが購入者に送信されたかどうか、および該当する場合は外貨両替データなど、デジタル注文の返品と返金の取引の詳細が含まれています。
Order History.csv,このファイルには、注文に使用したWebサイト、注文ID、注文日、ASIN、商品名、数量、価格、商品のコンディション (新品または中古品など)、支払い方法 (クレジットカードの発行者名やクレジットカードの下4桁など)、注文状況 (承認済み、キャンセル済み、完了済みなど)、発送日およびオプション (標準の2日または翌日など) 、配送先および請求先住所、配送業者名およびお問い合わせ伝票番号（利用可能な場合)、ギフトメッセージ、送信者名、受取人の連絡先情報（該当する場合）などの小売注文に関する情報が含まれています。
Refund Details.csv,このファイルには、注文IDと返品注文ID、返品作成日、返品に使用されたウェブサイト、返品数量、返品ステータス(完了またはキャンセルなど)、返品理由、返品金額ステータス、自動引き落とし金額(該当する場合)、返金完了日、返金額、返金状況、支払いタイプ(返金または支払いなど)を含む、小売注文についての返品および返金情報が含まれています。
Replacement Orders.csv,このファイルには、無償対応として交換注文が行われた場合の元の注文番号、および交換注文番号が含まれています。
Returns Status.csv,このファイルには、注文の返品に関する情報が含まれています。内容には、注文 ID、返品日、返品金額、返品理由、解決方法（交換や返金など）、返品の追跡情報、追跡番号や開始日を含む返品売掛金の詳細、返品売掛金が作成された理由（即時返金や前払い返金など）、返品のステータス、そして前払い返金や交換注文などの処理中の返品に関する遡及請求情報が含まれます。
